exchange,symbol,baseAsset,quoteAsset,volume,category
Binance,USDTIDRT,USDTIDRT,Other,41886490184.0,Most Traded
Binance,BUSDBIDR,BUSDBIDR,Other,32104807334.4,Most Traded
Binance,BTCBIDR,BTCBIDR,Other,30118180261.72,Most Traded
Binance,ETHBIDR,ETHBIDR,Other,25593138349.54,Most Traded
Binance,ALICEBIDR,ALICEBIDR,Other,14112458629.06,Most Traded
Binance,USDTBIDR,USDTBIDR,Other,14030051707.1,Most Traded
Binance,SANDBIDR,SANDBIDR,Other,12250154659.65,Most Traded
Binance,FTMBIDR,FTMBIDR,Other,9528656276.8,Most Traded
Binance,DOTBIDR,DOTBIDR,Other,8093608453.28,Most Traded
Binance,XRPBIDR,XRPBIDR,Other,7005434461.6,Most Traded
Binance,USDTARS,USDTARS,Other,6998248239.4,Most Traded
Binance,SLPBIDR,SLPBIDR,Other,6692901314.2,Most Traded
Binance,AVAXBIDR,AVAXBIDR,Other,5892322831.43,Most Traded
Binance,ADABIDR,ADABIDR,Other,5287955234.3,Most Traded
Binance,DOGEBIDR,DOGEBIDR,Other,5217696244.0,Most Traded
Binance,SOLBIDR,SOLBIDR,Other,5138976239.42,Most Traded
Binance,MANABIDR,MANABIDR,Other,4566681295.67,Most Traded
Binance,BTCJPY,BTCJPY,Other,4467851297.334395,Most Traded
Binance,BNBBIDR,BNBBIDR,Other,4375940792.68,Most Traded
Binance,MATICBIDR,MATICBIDR,Other,4329390299.5,Most Traded
Binance,TKOBIDR,TKOBIDR,Other,3510540770.41,Most Traded
Binance,ZILBIDR,ZILBIDR,Other,3188876915.6,Most Traded
Binance,BTCFDUSD,BTCFDUSD,Other,2696068311.9184327,Most Traded
Binance,ETHJPY,ETHJPY,Other,2502850962.81942,Most Traded
Binance,BTCUSDT,BTC,USDT,2316425679.2596555,Most Traded
Binance,USDTTRY,USDTTRY,Other,2030671486.15,Most Traded
Binance,XRPJPY,XRPJPY,Other,1924084037.131,Most Traded
Binance,USDCUSDT,USDC,USDT,1878517815.6366,Most Traded
Binance,ETHUSDT,ETH,USDT,1821917220.167618,Most Traded
Binance,USDTCOP,USDTCOP,Other,1643943544.0,Most Traded
Binance,NBTBIDR,NBTBIDR,Other,1413484989.8,Moderate
Binance,AXSBIDR,AXSBIDR,Other,1356681954.98,Moderate
Binance,ETHFDUSD,ETHFDUSD,Other,1314504852.326043,Moderate
Binance,TRUMPTRY,TRUMPTRY,Other,1010699982.0971,Moderate
Binance,BTCNGN,BTCNGN,Other,974565837.1207,Moderate
Binance,SOLUSDT,SOL,USDT,627155737.17401,Moderate
Binance,ETHTRY,ETHTRY,Other,606175063.916,Moderate
Binance,USDTNGN,USDTNGN,Other,585543361.62,Moderate
Binance,SLFTRY,SLFTRY,Other,576382218.857,Moderate
Binance,BTCTRY,BTCTRY,Other,494295960.03686,Moderate
Binance,ETHUSDC,ETHUSDC,Other,490996742.502891,Moderate
Binance,BNBUSDT,BNB,USDT,477436338.7962,Moderate
Binance,BUSDRUB,BUSDRUB,Other,469430045.56,Moderate
Binance,BTCUSDC,BTCUSDC,Other,457429928.650867,Moderate
Binance,BAKETRY,BAKETRY,Other,455758430.83,Moderate
Binance,XRPTRY,XRPTRY,Other,446590232.046,Moderate
Binance,DOGEJPY,DOGEJPY,Other,410546674.17,Moderate
Bybit,HYPEUSDT,HYPE,USDT,390777995.9264,Moderate
Binance,GIGGLETRY,GIGGLETRY,Other,378119069.176,Moderate
Binance,FDUSDUSDT,FDUSD,USDT,368110654.0435,Moderate
Binance,METRY,METRY,Other,366293574.6633,Moderate
Binance,XRPFDUSD,XRPFDUSD,Other,331516396.95508,Moderate
Binance,SOLFDUSD,SOLFDUSD,Other,318510700.86848,Moderate
Binance,ENSOUSDT,ENSO,USDT,307508154.83432,Moderate
Binance,SOLJPY,SOLJPY,Other,299794166.651,Moderate
Binance,OMNITRY,OMNITRY,Other,288382362.258,Moderate
Binance,BNBFDUSD,BNBFDUSD,Other,283710585.05692,Moderate
Binance,XRPUSDT,XRP,USDT,279039479.21915,Moderate
Binance,ENATRY,ENATRY,Other,276713427.44915,Moderate
Binance,ADAJPY,ADAJPY,Other,256666636.272,Moderate
Binance,USDCTRY,USDCTRY,Other,248414104.53,Moderate
Binance,ZECUSDT,ZEC,USDT,247640959.26585,Moderate
Binance,USDTBRL,USDTBRL,Other,238688616.69758,Moderate
Binance,ETHFITRY,ETHFITRY,Other,236536653.835,Moderate
Binance,TRUMPUSDT,TRUMP,USDT,236138638.080017,Moderate
Binance,BIOTRY,BIOTRY,Other,230230111.5129,Moderate
Binance,ENSOTRY,ENSOTRY,Other,219336408.905,Moderate
Binance,BTCARS,BTCARS,Other,214179463.08427,Moderate
Binance,BNBJPY,BNBJPY,Other,208319521.129,Moderate
Binance,SKLTRY,SKLTRY,Other,193650036.744,Moderate
Bybit,MAVIAUSDT,MAVIA,USDT,189523632.9772,Moderate
Binance,DOGEUSDT,DOGE,USDT,184697669.32017,Moderate
Binance,FORMTRY,FORMTRY,Other,184596068.734,Moderate
Binance,TURTLETRY,TURTLETRY,Other,181677662.782,Moderate
Binance,VIRTUALTRY,VIRTUALTRY,Other,180446348.9982,Moderate
Binance,PEPETRY,PEPETRY,Other,180113463.79026213,Moderate
Binance,YBTRY,YBTRY,Other,179973636.847,Moderate
Binance,BMTTRY,BMTTRY,Other,179033204.4135,Moderate
Binance,SOLUSDC,SOLUSDC,Other,176001506.60951,Moderate
Binance,FTRY,FTRY,Other,165061488.6254,Moderate
Bybit,FARTCOINUSDT,FARTCOIN,USDT,163441342.4446,Moderate
Bybit,PUMPFUNUSDT,PUMPFUN,USDT,163178256.4621,Moderate
Binance,USDEUSDT,USDE,USDT,159125257.8284,Moderate
Binance,ASTERTRY,ASTERTRY,Other,154820368.3029,Moderate
Binance,PAXGTRY,PAXGTRY,Other,154093206.8893,Moderate
Binance,BNBTRY,BNBTRY,Other,151591022.231,Moderate
Binance,SOLTRY,SOLTRY,Other,150499345.0105,Moderate
Binance,EIGENTRY,EIGENTRY,Other,147977311.0943,Moderate
Bybit,COAIUSDT,COAI,USDT,146209150.5047,Moderate
